sku,product_category,launch_date,end_of_sale_date,end_of_standard_support_date,end_of_life_date,source_method,source_url,confidence,needs_review,notes
Intel Xeon Gold 6226 2.7GHz 12 Cores/24T,Processor,2019-04-01,,2025-06-30,,perplexity_grounded,https://www.intel.com/content/www/us/en/products/sku/193957/intel-xeon-gold-6226-processor-19-25m-cache-2-70-ghz/specifications.html,0.85,False,"Launch Date Q2'19 (approximated to 2019-04-01); Servicing Status: ESU Notification Issued; End of Servicing Updates Date: 2025-06-30; Marketing Status: Launched; 2nd Gen Intel Xeon Scalable (Cascade Lake), 12 cores/24 threads, 2.70 GHz, 19.25 MB cache, 125W TDP"
Intel Xeon Bronze 3106 1.7 GHz 8 Cores/8T,Processor,2017-07-01,,2023-12-31,2023-12-31,perplexity_grounded,https://www.intel.com/content/www/us/en/products/sku/123540/intel-xeon-bronze-3106-processor-11m-cache-1-70-ghz/specifications.html,0.85,False,"Launched Q3'17 (July 2017); Servicing Status: End of Servicing Updates as of Dec 31, 2023; End of Interactive Support also Dec 31, 2023 per French Intel specs."
Default Xeon Bronze 3106 1.7 GHz 8 Cores/8T,Processor,2017-07-01,,2023-12-31,2023-12-31,perplexity_grounded,https://www.intel.com/content/www/us/en/products/sku/123540/intel-xeon-bronze-3106-processor-11m-cache-1-70-ghz/specifications.html,0.85,False,Inherited from 'Intel Xeon Bronze 3106 1.7 GHz 8 Cores/8T'
Intel Xeon Silver 4110 2.1 GHz 8 Cores/16T,Processor,,,2023-12-31,,perplexity_grounded,https://www.intel.com/content/www/us/en/products/sku/123547/intel-xeon-silver-4110-processor-11m-cache-2-10-ghz/specifications.html,0.85,False,"Intel Xeon Silver 4110 (11M Cache, 2.10 GHz) - 8 cores/16 threads, Skylake architecture, 14nm lithography. End of Servicing Updates and End of Interactive Support both occurred on December 31, 2023. No specific end-of-sale date found in available sources."
Intel Xeon Gold 5118 2.3 GHz 12 Cores/24T,Processor,2017-07-01,,2023-12-31,,perplexity_grounded,https://ark.intel.com/content/www/us/en/ark/products/120473/intel-xeon-gold-5118-processor-16-5m-cache-2-30-ghz.html,0.85,False,"Launch Date Q3'17 (interpreted as 2017-07-01); End of Servicing Updates Date and End of Interactive Support Date both Sunday, December 31, 2023; Servicing Status ESU Notification Issued; Marketing Status Launched."
Default Xeon Gold 5118 2.3 GHz 12 Cores/24T,Processor,2017-07-01,,2023-12-31,,perplexity_grounded,https://ark.intel.com/content/www/us/en/ark/products/120473/intel-xeon-gold-5118-processor-16-5m-cache-2-30-ghz.html,0.85,False,Inherited from 'Intel Xeon Gold 5118 2.3 GHz 12 Cores/24T'
Intel Xeon Gold 5122 3.6 GHz 4 Cores/8T (MTO),Processor,2017-09-01,,2023-12-31,2023-12-31,perplexity_grounded,https://ark.intel.com/content/www/us/en/ark/products/120475/intel-xeon-gold-5122-processor-16-5m-cache-3-60-ghz.html,0.85,False,"Launch Date Q3'17 (approximated to 2017-09-01); Marketing Status: Discontinued; Servicing Status: ESU Notification Issued; End of Servicing Updates Date and End of Interactive Support Date: 2023-12-31. Matches Intel Xeon Gold 5122 3.60 GHz, 4 cores/8 threads."
Intel Xeon Gold 6130 2.1 GHz 16 Cores/32T (MTO),Processor,2017-07-01,,2023-12-31,2023-12-31,perplexity_grounded,https://ark.intel.com/content/www/us/en/ark/products/123688/intel-xeon-gold-6130f-processor-22m-cache-2-10-ghz.html,0.85,False,"Launch in Q3'17 (approx. July 1); Marketing Status: Discontinued; End of Servicing Updates and Interactive Support: 2023-12-31. Note: Data from 6130F variant; 6130 matches specs (16 cores, 2.10 GHz, 22MB cache)."
Intel Xeon Gold 6138 2.0 GHz 20 Cores/40T (MTO),Processor,,,2023-12-31,,perplexity_grounded,https://ark.intel.com/content/www/us/en/ark/products/120476/intel-xeon-gold-6138-processor-27-5m-cache-2-00-ghz.html,0.85,False,"Intel Xeon Gold 6138 (non-P variant): 20 cores/40 threads, 2.0 GHz base, 27.5MB L3 cache, Skylake architecture. Marketing status: Discontinued. End of Interactive Support: December 31, 2023. The 'P' variant (6138P) launched Q2'18 with identical core/thread count but higher TDP (195W vs 125W) and is also discontinued as of the same support end date."
Intel Xeon Gold 6238R 2.2 GHz 28C/56T,Processor,2020-04-01,,2028-12-31,2028-12-31,perplexity_grounded,https://ark.intel.com/content/www/us/en/ark/products/193951/intel-xeon-gold-6238r-processor-38-5m-cache-2-20-ghz.html,0.85,False,Cascade Lake Refresh; EOSS from Intel ARK via patch
Intel Xeon E-2146G 3.5GHz 6C/12T,Processor,2018-07-01,,2025-06-30,,perplexity_grounded,https://www.intel.com/content/www/us/en/products/sku/134866/intel-xeon-e2146g-processor-12m-cache-up-to-4-50-ghz/specifications.html,0.85,False,Launch in Q3'18 (inferred as 2018-07-01); Marketing Status: Discontinued; Servicing Status: ESU Notification Issued; End of Servicing Updates Date: 2025-06-30. No confirmed end_of_sale_date or end_of_life_date available.
Intel Xeon E-2468 2.6GHz 8C/16T,Processor,2023-10-01,,,,perplexity_grounded,https://ark.intel.com/content/www/us/en/ark/products/236184/intel-xeon-e-2468-processor-24m-cache-2-60-ghz.html,0.85,False,Launch Date Q4'23 (inferred as 2023-10-01); Marketing Status: Launched; Servicing Status: Baseline Servicing. No end-of-sale or support dates found in primary Intel ARK source.
"Intel Xeon Silver 4514Y 2G, 16C/32T",Processor,2023-10-01,,,,perplexity_grounded,https://ark.intel.com/content/www/us/en/ark/products/237557/intel-xeon-silver-4514y-processor-30m-cache-2-00-ghz.html,0.85,False,"Intel Xeon Silver 4514Y (5th Gen Scalable, Emerald Rapids) - 16 cores, 32 threads, 2.0 GHz base, 3.4 GHz turbo, 30MB cache, 150W TDP. Launched Q4'23. End of sale and support dates not publicly available in Intel ARK or provided search results."
"Default Intel Xeon Silver 4514Y 2G, 16C/32T",Processor,2023-10-01,,,,perplexity_grounded,https://ark.intel.com/content/www/us/en/ark/products/237557/intel-xeon-silver-4514y-processor-30m-cache-2-00-ghz.html,0.85,False,"Inherited from 'Intel Xeon Silver 4514Y 2G, 16C/32T'"
"Intel Xeon Gold 6534 4G, 8C/16T",Processor,2023-10-01,,,,perplexity_grounded,https://ark.intel.com/content/www/us/en/ark/products/237555/intel-xeon-gold-6534-processor-22-5m-cache-3-90-ghz.html,0.85,False,"Launch Date Q4'23 (interpreted as 2023-10-01); Marketing Status: Launched; Servicing Status: Baseline Servicing. Matches 8C/16T (Total Cores 8, Total Threads 16). No end-of-sale, support, or EOL dates confirmed in sources."
"Intel Xeon Gold 6526Y 2.9G, 16/32T",Processor,2023-12-14,,,,perplexity_grounded,https://ark.intel.com/content/www/us/en/ark/products/237606/intel-xeon-gold-6526y-processor-37-5m-cache-2-80-ghz.html,0.85,False,Granite Rapids; EOL not yet published — patched launch date only
"Default Intel Xeon Gold 6526Y 2.9G, 16/32T",Processor,2023-12-14,,,,perplexity_grounded,https://ark.intel.com/content/www/us/en/ark/products/237606/intel-xeon-gold-6526y-processor-37-5m-cache-2-80-ghz.html,0.85,False,"Inherited from 'Intel Xeon Gold 6526Y 2.9G, 16/32T'; patched via patch_lifecycle.py"
"Intel Xeon Gold 6548Y+ 2.5G, 32C/64T",Processor,2023-10-01,,2023-10-01,,perplexity_grounded,https://ark.intel.com/content/www/us/en/ark/products/237564/intel-xeon-gold-6548y-processor-60m-cache-2-50-ghz.html,0.85,False,"Launch Date Q4'23 (approximated to 2023-10-01); Servicing Status: Baseline Servicing (indicates start of standard servicing period). No end_of_sale_date, end_of_life_date, or other specific dates confirmed in primary Intel ARK source."
"Intel Xeon Platinum 8558U 2G, 48C/96T",Processor,2023-12-14,,,,perplexity_grounded,https://www.intel.com/content/www/us/en/products/sku/237267/intel-xeon-platinum-8558u-processor-260m-cache-2-00-ghz/specifications.html,0.85,False,"Intel Xeon Platinum 8558U (260M Cache, 2.00 GHz) is a 5th Gen Xeon Scalable processor (Emerald Rapids architecture). Marketing status shows 'Launched' with Q4'23 launch date. Servicing status is 'Baseline Servicing'. Recommended customer price: $3,720. Specific end of sale, end of standard support, and end of life dates are not publicly available in Intel's standard product specifications; these dates are typically provided through Intel's Product Change Notification (PCN) system or direct customer communication."
1 TB 7200 6 Gb/s SATA,Drive,,,,,skipped,,0,False,Generic drive SKU — no manufacturer-specific EOL published
2 TB 7200 6 Gb/s SATA,Drive,,,,,skipped,,0,False,Generic drive SKU — no manufacturer-specific EOL published
4 TB 7200 6 Gb/s SATA,Drive,,,,,skipped,,0,False,Generic drive SKU — no manufacturer-specific EOL published
12 TB 7200 6 Gb/s SATA,Drive,,,,,skipped,,0,False,Generic drive SKU — no manufacturer-specific EOL published
480 GB SSD,Drive,,,,,skipped,,0,False,Generic drive SKU — no manufacturer-specific EOL published
480 GB SATA 2.5in SSD,Drive,,,,,skipped,,0,False,Generic drive SKU — no manufacturer-specific EOL published
960 GB SATA 2.5in SSD,Drive,,,,,skipped,,0,False,Generic drive SKU — no manufacturer-specific EOL published
1.92 TB SATA 2.5in SSD,Drive,,,,,skipped,,0,False,Generic drive SKU — no manufacturer-specific EOL published
3.84 TB SATA 2.5in SSD,Drive,,,,,skipped,,0,False,Generic drive SKU — no manufacturer-specific EOL published
7.6 TB Micron 9400 SSD,Drive,,2025-06-11,,2025-12-11,perplexity_inferred,,0.6,True,"Micron 9400 series (including ~7.6-7.68TB capacities like 7.68TB 9400 PRO) approaching EOL. Last order date June 11, 2025; last ship date December 11, 2025. Replacement is Micron 9550 series. No primary Micron lifecycle page found in results."
960 GB NVMe u.2 2.5in,Drive,,,,,skipped,,0,False,Generic drive SKU — no manufacturer-specific EOL published
3.84 TB NVMe u.2 2.5in,Drive,,,,,skipped,,0,False,Generic drive SKU — no manufacturer-specific EOL published
6.4 TB NVMe u.2 2.5in,Drive,,,,,skipped,,0,False,Generic drive SKU — no manufacturer-specific EOL published
15.36 TB NVMe u.2 2.5in,Drive,,,,,skipped,,0,False,Generic drive SKU — no manufacturer-specific EOL published
Intel X710-DA2 10 GbE NIC with 2 x SFP+,Network Card,2014-10-01,2022-10-10,,,perplexity_grounded,https://ark.intel.com/content/www/us/en/ark/products/83964/intel-ethernet-converged-network-adapter-x710-da2.html,0.85,False,"Launch in Q4'14 (approximated as 2014-10-01); product discontinuance announced via PCN 119285-00 on 2022-10-10 for X710-DA2 variant. Standard support ends 5 years post-discontinuance per Intel policy (2027-10-10), but not explicitly confirmed for this SKU. Matches 'Intel X710-DA2 10 GbE NIC with 2 x SFP+' based on dual SFP+ ports, 10/1GbE, PCIe 3.0 x8, Intel Ethernet Controller X710."
"Intel X710 Quad Port 10Gb DA/SFP+ Ethernet, NDC",Network Card,2014-10-01,2025-06-09,,2025-09-09,perplexity_grounded,https://ark.intel.com/content/www/us/en/ark/products/83965/intel-ethernet-converged-network-adapter-x710-da4.html,0.85,False,"Intel® Ethernet Converged Network Adapter X710-DA4 (MM# 932575, Ordering Code X710DA4FH) matches 'Intel X710 Quad Port 10Gb DA/SFP+ Ethernet'. Launched Q4'14. EOL per PCN #842214-00 published 2024-12-06. Last order 2025-06-09, last shipment 2025-09-09. Dell NDC variant (e.g. 540-BBIW) aligns with this Intel OEM product."
SQL Server 2022 Standard Edition,SQL,2022-11-16,,2028-01-11,2033-01-11,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/?products=sql-server,0.85,False,"SQL Server 2022 Standard Edition follows the same lifecycle as the product overall under Microsoft Fixed Policy: 5 years mainstream support ending 2028, 5 years extended support to 2033. No edition-specific dates found."
SQL Server 2022 Enterprise Edition,SQL,2022-11-16,,2028-01-11,2033-01-11,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/sql-server-2022,0.85,False,Applies to all editions including Enterprise on Windows and Linux per Fixed Lifecycle Policy; dates in PT timezone.
SQL Server 2019 Web Edition,SQL,2019-11-04,,2025-02-28,2030-01-08,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/sql-server-2019,0.85,False,"SQL Server 2019 Web Edition follows the Fixed Lifecycle Policy with 5 years of mainstream support and 5 years of extended support. Mainstream support ended February 28, 2025. Extended support (security updates only) continues until January 8, 2030."
SQL Server 2019 Standard Edition,SQL,2019-11-04,,2025-02-28,2030-01-08,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/sql-server-2019?branch=live,0.85,False,Applies to all editions including Standard on Windows and Linux; follows Fixed Lifecycle Policy with Mainstream Support ending 2025-02-28 and Extended Support ending 2030-01-08.
SQL Server 2019 Enterprise Edition,SQL,2019-11-04,,2025-02-28,2030-01-08,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/sql-server-2019?branch=live,0.85,False,"Applies to all editions including Enterprise on Windows and Linux. Follows Fixed Lifecycle Policy. Mainstream support ends 2025-02-28, extended support ends 2030-01-08."
Alma Linux 8,OS,2021-03-30,,2024-05-01,2029-03-01,perplexity_grounded,https://wiki.almalinux.org/FAQ.html,0.85,False,"AlmaLinux OS 8 launched 2021-03-30. Active support (full updates) ended 2024-05-01; security support until 2029-03-01 per endoflife.date and eosl.date, consistent with AlmaLinux wiki stating AlmaLinux 8.x EOL 2029. Minor versions EOL upon next minor release."
Alma Linux 9,OS,2022-05-26,,2027-05-31,2032-05-31,perplexity_inferred,https://wiki.almalinux.org/FAQ.html,0.6,True,"AlmaLinux 9 initial release on 2022-05-26. Active support ends 2027-05-31, security support (EOL) until 2032-05-31. Minor versions EOL upon next minor release. Confirmed across multiple sources including official wiki, endoflife.date."
Rocky Linux 8,OS,2021-05-01,2024-05-31,2024-05-31,2029-05-31,perplexity_inferred,https://wiki.rockylinux.org/rocky/version/,0.6,True,"Rocky Linux 8 (Green Obsidian) follows a 10-year support cycle: 5 years active support ending May 31, 2024, followed by 5 years security support until EOL on May 31, 2029. Latest version 8.10 released May 31, 2024. Multiple sources including endoflife.date and deploymentfromscratch.com confirm EOL date."
Rocky Linux 9,OS,2022-07-14,,2027-05-31,2032-05-31,perplexity_inferred,https://rockylinux.org/news/rocky-linux-9-0-ga-release,0.6,True,"Rocky Linux 9 series launched with 9.0 on 2022-07-14. Active support ends 2027-05-31 per endoflife.date/rocky-linux; full security support to 2032-05-31. Point releases EOL upon newer release (e.g., 9.7 current as of 2025-12-01). No official vendor lifecycle page found."
Rocky Linux 10,OS,2025-06-11,,2030-05-31,2035-05-31,perplexity_inferred,https://rockylinux.org/news/rocky-linux-10-0-ga-release,0.6,True,"Rocky Linux 10 (Red Quartz) general availability on 2025-06-11. Active support (full support phase) ends 2030-05-31, security/maintenance support to 2035-05-31 per official docs and wiki. Minor 10.0 EOL 2025-11-25, superseded by 10.1."
RHEL 9.x,OS,2022-05-18,,2027-05-31,2032-05-31,perplexity_grounded,https://access.redhat.com/product-life-cycles,0.85,False,"RHEL 9 has a 10-year lifecycle: Full Support until 2027-05-31, followed by Maintenance Support until 2032-05-31. Extended Life Cycle Support (ELS) add-on available until 2035-05-31. Latest minor release is 9.7 (2025-11-11)."
RHEL 9.x VDC for Unlimited Linux Guests,OS,2022-05-18,,2027-05-31,2032-05-31,inherited,https://access.redhat.com/product-life-cycles,0.85,False,Inherited from 'RHEL 9.x' — RHEL API unavailable at run time
RHEL 9.x for VMs,OS,2022-05-18,,2027-05-31,2032-05-31,perplexity_grounded,https://access.redhat.com/support/policy/updates/errata,0.85,False,RHEL 9 follows a 10-year lifecycle with 5 years of Full Support (ending May 2027) followed by 5 years of Maintenance Support (ending May 2032). Extended Life Cycle Support available until May 2035. VM deployments follow the same lifecycle as the base OS version.
RHEL 8.x,OS,2019-05-07,,2024-05-31,2029-05-31,perplexity_inferred,https://access.redhat.com/product-life-cycles?product=Red+Hat+Enterprise+Linux,0.6,True,"RHEL 8 in Maintenance Support phase until May 31, 2029; Extended Life Cycle Support (ELS) available until 2032. Dates from multiple sources including Red Hat portals and lifecycle trackers; no direct primary vendor page with all exact fields in search results."
RHEL 8.x VDC for Unlimited Linux Guests,OS,2019-05-07,,2024-05-31,2029-05-31,perplexity_inferred,,0.6,True,RHEL 8.x released May 2019. End of Full Support: May 2024. End of Maintenance Support 1: May 2029. 'VDC for Unlimited Linux Guests' appears to be a specific subscription or virtualization add-on; no distinct lifecycle dates found in results. Dates from secondary sources aggregating Red Hat data.
RHEL 8.x for VMs,OS,2019-05-07,,2024-05-31,2029-05-31,perplexity_inferred,,0.6,True,"RHEL 8 released May 2019. Full Support ended May 2024, Maintenance Support ends May 2029, followed by Extended Life Phase to ~2032. 'RHEL 8.x for VMs' follows standard RHEL 8 lifecycle; no VM-specific dates found. Primary vendor pages require login."
RHEL for VMs - 1 to 8 vCPUs,OS,2022-05-18,,2027-05-31,2032-05-31,inherited,https://access.redhat.com/support/policy/updates/errata,0.85,False,Inherited from 'RHEL 9.x for VMs' — RHEL API unavailable at run time
RHEL for VMs - 9 to 127 vCPUs,OS,2022-05-18,,2027-05-31,2032-05-31,perplexity_grounded,https://access.redhat.com/support/policy/updates/errata?extIdCarryOver=true&sc_cid=701f2000001OH7EAAW,0.85,False,"RHEL 9 lifecycle: 10-year support (Full Support until 2027-05-31, Maintenance Support until 2032-05-31, Extended Life Phase until 2035-05-31). 'RHEL for VMs - 9 to 127 vCPUs' follows standard RHEL 9 lifecycle as no variant-specific dates found; VM configuration (vCPUs) does not alter OS support phases per Red Hat policy."
RHEL for VMs - 128 to Unlimited vCPUs,OS,2022-05-18,,2027-05-31,2032-05-31,inherited,https://access.redhat.com/support/policy/updates/errata?extIdCarryOver=true&sc_cid=701f2000001OH7EAAW,0.85,False,Inherited from 'RHEL for VMs - 9 to 127 vCPUs' — RHEL API unavailable at run time
CentOS 8,OS,2019-09-24,2021-12-31,2021-12-31,2021-12-31,perplexity_inferred,https://www.eol.support/centos,0.6,True,"CentOS Linux 8 discontinued; no longer safe to use. Core and active support both ended Dec 31, 2021 per eol.support and multiple sources including official CentOS and Google Cloud docs."
Debian 12,OS,2023-06-10,,2026-06-10,2028-06-30,perplexity_grounded,https://debian.org/releases/bookworm,0.85,False,"Debian 12 'Bookworm' has 3 years full support until 2026-06-10, followed by 2 years LTS until 2028-06-30. Superseded by Debian 13."
Debian 13,OS,2025-08-09,,2028-08-09,2030-06-30,perplexity_grounded,https://www.debian.org/News/2025/20250809,0.85,False,"Debian 13 (Trixie) receives 3 years of standard security support from the Debian Security Team, followed by 2 years of Long Term Support (LTS) from the Debian LTS team, for a total of 5 years of support."
Ubuntu 22.04 LTS,OS,2022-04-21,,2027-04-01,2032-04-09,perplexity_grounded,https://eolstatus.com/product/canonical-ubuntu-22-04-lts,0.85,False,Ubuntu 22.04 LTS (Jammy Jellyfish) by Canonical. EOSL is end of standard support; EOL includes 5-year ESM extension.
Ubuntu 24.04 LTS,OS,2024-04-25,,2029-05-31,2036-05-31,perplexity_inferred,https://eolstatus.com/product/canonical-ubuntu-24-04-lts,0.6,True,Ubuntu 24.04 LTS (Noble Numbat). Standard support to 2029-05-31 per multiple sources; EOL with ESM 2036-05-31. No primary Canonical lifecycle page in results; dates consistent across trackers and discourse.ubuntu.com.
Windows Server 2025 Standard Edition,OS,2024-11-01,,2029-11-13,2034-11-14,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/windows-server-2025,0.85,False,"Windows Server 2025 Standard Edition follows the Fixed Lifecycle Policy. Mainstream support ends 2029-11-13, extended support ends 2024-11-14. Confirmed for Standard edition on Microsoft Lifecycle page."
Windows Server 2025 Data Center Edition,OS,2024-11-01,,2029-11-13,2034-11-14,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/windows-server-2025,0.85,False,Windows Server 2025 Datacenter follows the Fixed Lifecycle Policy. Dates apply to Datacenter edition per Microsoft official lifecycle page.
Windows Server 2022 Standard Edition,OS,2021-08-18,,2026-10-13,2031-10-14,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/windows-server-2022-standard-msl,0.85,False,"Follows Fixed Lifecycle Policy. Applies to Standard (MSL) edition; mainstream support ends 2026-10-13, extended support ends 2031-10-14 (PT timezone)."
Windows Server 2022 Data Center Edition,OS,2021-08-18,,2026-10-13,2031-10-14,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/windows-server-2022,0.85,False,"Applies to Datacenter edition under Fixed Lifecycle Policy; Mainstream Support ends 2026-10-13, Extended Support ends 2021-10-14."
Windows Server 2019 Standard Edition,OS,2018-11-13,,2024-01-09,2029-01-09,perplexity_grounded,https://learn.microsoft.com/cs-cz/lifecycle/products/windows-server-2019,0.85,False,"Applies to Standard edition per Microsoft Lifecycle policy; mainstream support ended 2024-01-09, extended support ends 2029-01-09."
Windows Server 2019 Data Center Edition,OS,2018-11-13,,2024-01-09,2029-01-09,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/windows-server-2019,0.85,False,"Applies to Datacenter edition per Microsoft Fixed Lifecycle Policy; mainstream support ended 2024-01-09, extended support ends 2029-01-09."
